
C5H10OOH3-1O2	CCC(CCO[O])OO
C5H10OOH2-5O2	CC(CCCO[O])OO
NC6KET21	CCCCC(=O)COO
NC6KET23	CCCC(OO)C(C)=O
NC6KET24	CCC(CC(C)=O)OO
NC6KET25	CC(=O)CCC(C)OO
NC6KET26	CC(=O)CCCCOO
NC6KET31	CCCC(=O)CCOO
NC6KET32	CCCC(=O)C(C)OO
NC6KET34	CCC(=O)C(CC)OO
NC6KET35	CCC(=O)CC(C)OO
NC6KET36	CCC(=O)CCCOO
C5H10OOH1-3O2	CCC(CCOO)O[O]
C6H12OOH1-4O2	CCC(CCCOO)O[O]
C3H6OH	[CH2]C(C)O
C5H10OOH3-1	[CH2]CC(CC)OO
C5H10OOH2-5	[CH2]CCC(C)OO
C6H12OOH1-5O2	CC(CCCCOO)O[O]
C4H8OH-2O2	CC(O)C(C)O[O]
NC7KET12	CCCCCC(C=O)OO
PC4H8OH	CC[CH]CO
C4H8OH-1O2	CCC(CO)O[O]
HOC3H6O2	CC(O)CO[O]
NC7KET13	CCCCC(CC=O)OO

C3H6O1-3	C1COC1
C4H8O2-3	CC1OC1C
C4H8O1-3	CC1CCO1
C4H8O1-4	C1CCOC1
C4H8O1-2	CCC1CO1
C5H10O1-2	CCCC1CO1
C5H10O2-3	CCC1OC1C
C5H10O2-4	CC1CC(C)O1
C5H10O1-4	CC1CCCO1
C5H10O1-5	C1CCOCC1
C5H10O1-3	CCC1CCO1
C6H12O3-4	CCC1OC1CC
C6H12O1-2	CCCCC1CO1
C6H12O2-3	CCCC1OC1C
C6H12O2-4	CCC1CC(C)O1
C6H12O2-5	CC1CCC(C)O1
C6H12O1-5	CC1CCCCO1
C6H12O1-3	CCCC1CCO1
C7H14O2-5	CCC1CCC(C)O1
C7H14O3-5	CCC1CC(CC)O1
C7H14O2-3	CCCCC1OC1C
C7H14O1-3	CCCCC1CCO1
C7H14O3-4	CCCC1OC1CC
C7H14O1-2	CCCCCC1CO1
C7H14O1-4	CCCC1CCCO1
C5H10OOH1-3	CC[CH]CCOO
C6H12OOH1-5	C[CH]CCCCOO
C6H12OOH1-4	CC[CH]CCCOO
C6H12OOH3-6O2	CCC(CCCO[O])OO
C6H12O1-4	CCC1CCCO1
C6H12OOH3-6	[CH2]CCC(CC)OO

NC6D1KET45	C=CCC(=O)C(C)OO
NC6D1KET65	C=CCCC(C=O)OO
NC6D1KET46	C=CCC(=O)CCOO
NC6D2KET56	CC=CCC(=O)COO
NC6D2KET65	CC=CCC(C=O)OO
NC6D1KET56	C=CCCC(=O)COO
